Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
25,1.0,1.0238695855188937e-24,7.867267379779832e-30,5.713602989086278e-41,6.9146987402683065e-40,2.746185332604132e-50,4.014745080946467e-32,3.996867849056357e-150,2.347510971794307e-22,1.8425542409620611e-68
26,1.0,8.807370102423358e-35,2.9079612749782655e-43,2.6051956029122622e-37,1.3449301720473562e-29,4.6312036460660905e-37,4.0858749659462126e-40,1.6211728948028513e-40,3.776857802474656e-67,6.667832024955861e-34
27,2.96549643026935e-09,0.9999999970345035,4.1653698247663176e-35,1.2579347908790523e-31,8.251671868402808e-90,9.114965022368776e-58,7.746620587454105e-34,7.767205220151971e-140,2.0999663516626493e-63,5.749907999613065e-209
28,2.9812232845077564e-26,8.019392886734445e-18,3.3368030318290675e-56,3.3472641266394023e-35,1.7236483703072443e-20,1.5849844496130966e-11,3.029633336703366e-37,9.658172705771376e-21,1.7544506913168984e-52,0.9999999999841502
29,1.0,1.2014298437694563e-20,1.1615136505871802e-34,9.780513936552996e-43,2.533601404959354e-28,6.256067754678952e-29,6.193877361164566e-39,2.330625655240641e-49,1.9401095612401324e-39,4.283124693953763e-19
30,1.0,8.432589284216061e-27,1.96880114374172e-44,5.091130574291532e-105,1.733981088711623e-18,3.2723105647197058e-28,1.8972620557220022e-30,4.484838723674093e-59,8.735340477217801e-75,3.020584645532902e-105
31,0.9999999999974127,2.5872246825872534e-12,2.5823367434593155e-37,1.1140505851657536e-47,3.836397861837605e-43,6.139310647292082e-47,9.13087532271797e-34,1.1111165930292637e-78,3.306191289495256e-34,1.017702286086316e-66
32,1.0,3.2718547158752296e-56,1.3100997038932786e-121,6.414548852029271e-184,7.821065777088114e-57,2.6674544292504152e-73,8.60336090261903e-115,3.7455177710436133e-152,2.574362118588816e-181,6.199111376760329e-182
33,2.722096723909144e-59,9.535868749382656e-97,1.318422847023957e-122,1.0,6.5196504754194915e-78,5.49965551403614e-93,7.352231546031429e-54,5.455769562740327e-79,3.926190588257381e-211,7.835688629832029e-132
34,5.955926386101073e-08,3.056294139837839e-10,5.315240823823647e-106,6.211972311713789e-59,0.9999999401351067,1.2383354502004058e-26,2.8699343985594165e-91,1.582303038191815e-101,5.444598128503973e-107,8.340887703952519e-104
35,0.00020089778283932032,6.289085154822808e-72,6.998189960111913e-104,3.6288133801587504e-89,2.6132366454626713e-75,4.6125415956601485e-73,5.896974714970977e-60,0.9997991022171607,9.622528936374495e-121,4.8778826971883535e-28
36,2.814734221996549e-37,1.0,5.332994296302064e-198,3.5599313087082236e-117,1.6118487693378118e-280,2.1440675376658392e-238,2.5414253740124965e-96,4.197001667009702e-152,8.158610937368395e-70,8.830300897975552e-82
37,1.0,1.1163097743486243e-32,3.3320540776653206e-47,1.297935412164012e-77,5.280299295321905e-96,7.879569898408381e-43,1.784652415532227e-90,2.0815744240922959e-81,6.07094938950997e-64,7.4208866621952e-85
38,0.9831114918529683,0.016888508147031762,9.306380711128739e-79,8.675328427259687e-103,1.6908758003370318e-43,5.695591603470828e-72,7.427066186542311e-78,7.191757378173622e-51,1.2819992278128417e-105,1.7034513712070878e-96
39,1.0,2.6638516767474894e-99,3.480155478541674e-145,2.9080274069831647e-270,2.050150479196609e-32,1.7356238819506209e-189,1.2138903244403035e-59,4.0389808113462305e-132,1.8780267493302386e-184,4.276391854385304e-183
40,2.0689663606338484e-12,0.9655959245977827,5.547966238678987e-19,1.931242042383803e-10,4.357709529788405e-14,7.0678321196294e-26,3.0007693215585443e-32,1.6229500320068458e-21,0.03440407520698076,1.1484278988944988e-39
41,1.6848136728651253e-13,0.9363492449006562,1.3846454304379443e-69,4.3983860070066854e-15,9.823655335967718e-44,9.862893899118619e-06,1.5119930932309397e-26,8.4072846318547e-25,2.6078660313970017e-87,0.06364089220527176
42,0.9999999999999776,7.93798774587886e-43,2.2400369622782247e-14,3.7873348294778635e-81,6.448904779726846e-63,7.395844134557915e-72,2.0884459664943072e-75,2.094222572109087e-97,5.139867934635455e-49,7.780351499895907e-121
43,1.0,5.135430589428921e-165,9.490167494873874e-176,1.7417090344631567e-258,4.8095556620098284e-297,1.5643600500579517e-134,7.990261414317397e-115,2.474314606364522e-119,4.2244851515749693e-250,8.090684328528685e-89
44,0.9999999999955294,4.413654713870332e-22,1.3809506561496435e-23,4.470570118064127e-12,9.837068999679221e-25,6.751457333697829e-30,6.623581523286135e-50,9.003263525293163e-28,1.522272377774155e-21,9.896567873284108e-28
45,0.5197398927932285,1.8392673671570356e-31,1.8570044284177954e-103,0.4798394835608096,3.002496985081408e-36,8.913087971544211e-64,3.971187294875209e-40,0.00042062364596203957,3.0028360532764414e-92,2.8112782635052158e-39
46,1.4319142942465017e-07,4.399050840640319e-09,2.3747528520241376e-17,0.9999998524095197,8.687849983584847e-37,2.0358454652059488e-84,1.6976322938968969e-65,1.555808501665683e-95,4.0332183987285685e-87,1.1821350586101744e-74
47,0.9982338351279586,0.0017661648608984573,2.0611561122027085e-47,1.1143006897633564e-11,6.568198438278544e-55,6.8132588264106184e-46,3.143125626817635e-39,3.2614305891670164e-73,4.0409432609382154e-46,2.226623049449717e-62
48,1.842468354950058e-22,0.0007370618911526421,2.0029379016236293e-79,1.0429323128820634e-107,1.2775510579965596e-35,3.2185133302925043e-142,0.9992629381088474,1.7787928371146032e-168,4.2863525211091454e-94,9.842880188947958e-100
49,4.956099478955617e-31,2.3294845309579045e-44,1.1278521858242946e-81,9.17021601610228e-102,2.3356689179000538e-76,3.4423541149232203e-70,1.007406928083287e-54,9.489550578582121e-166,1.0,1.5291979030190058e-144
50,0.9999999999219902,7.798447385734085e-11,5.748160325692397e-61,2.5278032409885022e-14,2.8236973345198435e-64,1.9945022594845267e-31,1.2894903658526607e-43,2.504451696960943e-39,2.814395397166437e-109,8.869485281054324e-36
51,3.5355886539020226e-40,1.4420859454243757e-85,1.6762079702959363e-144,1.9978365677665284e-128,6.318689643918263e-79,1.0,9.146177936080296e-115,2.580613273477e-311,2.976436263082112e-126,1.640279909621481e-145
52,1.1248891081825288e-43,1.0,6.532645420122241e-78,8.05994e-319,3.0060295919465836e-156,3.373814452894613e-198,3.492139571402568e-117,0.0,3.33805960894848e-57,0.0
53,0.9616971096418611,0.03830289035813883,1.674278607826491e-43,4.197207809079626e-24,1.8697226955091366e-35,5.062499882284035e-35,1.857964708486806e-39,3.644580462196972e-85,1.480259203332827e-23,3.3481548997524102e-46
54,3.7139053767185056e-42,5.595451394125447e-28,1.304300650233096e-10,1.6209095303893495e-85,1.2531481887152695e-44,6.919467053642916e-86,7.465563576335748e-06,1.5612303359886573e-138,0.9999925343059937,7.47204943746443e-48
55,1.0624492991187943e-46,3.7302330299601666e-08,6.467765735199835e-81,2.630026988073501e-199,1.6204407042077328e-74,4.207314049560792e-30,1.0768728561155126e-96,3.73362882503894e-168,0.9999999626976698,1.2440225073594653e-158
56,1.0,2.675602703506708e-76,7.559530244757371e-39,4.5187228099592157e-60,1.2335061861462557e-97,8.229421680732814e-42,1.4397934317249275e-72,1.1288149962407259e-148,5.270882535983056e-106,9.335583003805207e-153
57,1.0,1.6675106080556243e-30,2.542683214751763e-73,9.788158496911087e-31,8.168050788693967e-52,9.299129589868854e-38,1.582506418302726e-39,4.87047227096214e-53,1.6674580076755746e-152,5.1574045946479483e-20
58,1.0,4.049382714807653e-64,4.904991542653458e-158,1.6425965723273488e-155,7.650864079003565e-78,3.1221240085364635e-131,6.217945131178981e-153,1.0237111273187744e-211,4.403159263731499e-170,3.8637152349792543e-168
59,8.963606242499e-78,1.6219888166117353e-67,0.9999999999999756,2.700797414216986e-130,2.5215516354400823e-168,6.339645903211961e-140,7.404052399583636e-108,5.1973069e-316,2.4461460307284023e-14,4.767049271966704e-126
60,6.2943023732378785e-81,1.3836209088619983e-95,1.7537411439622257e-72,6.2032247841794436e-09,0.9999999937881872,8.765479412371354e-24,8.588054535675926e-12,3.5439913451794164e-64,4.9850784718637987e-116,1.2672870213474873e-83
61,0.9799003921794424,1.2792380920585111e-39,1.2624278353546725e-89,0.020099607820557662,1.689822491104583e-58,2.433839647951981e-94,1.242239019114608e-66,1.7116171480250783e-29,3.642347500858233e-117,4.451306645134789e-61
62,2.542650990412469e-08,3.498620351648637e-18,6.53181112020525e-38,0.9749738271272961,1.0764819055045796e-16,4.879593036630604e-11,3.355411181845533e-42,0.025026147397398047,8.521458584451428e-76,9.818171370429792e-85
63,0.9999970254914533,2.9745085466433007e-06,1.4189911760027126e-35,5.4321589634243955e-56,2.2380428281180505e-80,1.8244202471289005e-39,2.775986473618319e-35,6.54215959211935e-127,3.2989991119406514e-26,2.045357033906607e-93
64,0.9999999999999929,7.023938835407161e-15,1.394692208958892e-145,1.4992601528901038e-187,2.562501702857503e-72,9.200240985805832e-138,1.0690012101360077e-145,1.986957453782178e-163,1.8163714209437364e-224,2.2160150542525177e-176
65,1.0,4.499014004408851e-32,1.8443611657297638e-45,1.2281164291241341e-27,1.4699332522315142e-23,2.283539883181076e-34,6.182890536234826e-48,2.0675886622310666e-39,2.7672799904193423e-47,6.975815758357271e-41
66,1.0,4.466996207232874e-21,2.7767250765042462e-83,1.2371696608227134e-40,5.496361457518077e-53,2.9505586617691327e-73,2.0877315822140545e-92,3.248125301705733e-94,7.830561422396281e-82,6.411496589678932e-113
67,0.9999999999996911,3.088647667247838e-13,3.0791230566773247e-52,6.660441635882472e-28,2.561045143067891e-37,7.697325955692329e-36,2.52267237565558e-42,4.4206976659470175e-56,1.8891170848792234e-71,8.344171271567024e-53
68,0.0017645125192443018,0.9982354874807556,3.6503864822728765e-51,1.0835849326247202e-52,3.1061228393882484e-44,1.3247802395743526e-83,1.1598628679894714e-47,2.6159715786983204e-116,1.2937005459016388e-32,1.0390059927736208e-62
69,0.0027264165948961525,0.9972735834051039,3.8504270180234983e-47,1.4746993138692985e-63,4.769295069964855e-40,3.845926465131083e-106,9.552157311458906e-66,1.2447051609914461e-136,3.729280690257581e-23,6.13895511011153e-119
70,0.9999968997668511,3.1002331489194872e-06,1.3830091637401858e-56,1.3471618921233886e-191,5.56918488281965e-54,2.391527973372593e-52,5.391917416795924e-31,8.594151515727118e-156,5.573883898647972e-126,1.4476809643900406e-163
71,1.0,6.633159261358045e-95,9.874284955081946e-122,1.8296766385740983e-274,1.4566866651683345e-32,6.625576333812573e-202,1.65549945560906e-91,7.830156037644252e-276,1.2999946021189733e-151,1.885520270320811e-206
72,1.2164766688274382e-42,1.3854120624386852e-22,1.0,9.778138066497897e-206,1.3314920509094944e-102,1.378707868147933e-107,1.066943323669877e-22,6.933404211824007e-283,2.0791963948498338e-70,4.6751626663700794e-241
73,1.0,2.5893666587046505e-22,8.869190889900123e-53,8.037788696765152e-90,5.762286524635919e-51,2.0024580787089926e-56,5.5899262443748794e-46,3.0614839132870093e-103,5.427787150251722e-43,1.7586559698296552e-71
74,1.9685772989437703e-24,1.0,7.44435913973322e-52,1.4869551532963822e-63,6.417065840340833e-77,3.1185960462173855e-47,9.767439466016224e-39,9.888674919921051e-189,1.067551605584862e-47,1.33214128836451e-133
75,1.935054105882252e-16,0.0011078754354179453,9.227609738880508e-41,2.8925868577364795e-40,0.9988921245645818,1.1118287197519223e-32,5.446216815975917e-22,5.248242260651259e-132,1.7025770970827405e-85,2.486383957651932e-58
76,5.466158253915803e-99,0.0005830587401825533,2.8133564293294257e-60,0.9994169412598175,3.15436566813648e-35,2.252098082601548e-144,3.769218666452759e-82,2.291571122742189e-73,1.5181064632055836e-34,2.1668193496257758e-51
77,1.6241818791670864e-42,1.8467995270268303e-102,1.2545439073602687e-142,3.131281334436736e-199,1.0,1.3971792521210544e-67,1.7678374664514605e-35,2.62383533115086e-75,4.1311018049030286e-89,3.2709359234287484e-93
78,6.141668343319832e-58,1.0313699813626994e-47,1.7857077611265564e-44,2.3441003995795506e-70,6.150768318104181e-102,9.271320401755043e-40,3.0042468886690773e-74,1.0761107250336322e-109,1.0,4.317873279661505e-68
79,9.628665909356181e-89,9.278608114670946e-93,2.889549401980889e-163,1.6358817455093351e-52,4.595157600380163e-135,9.075332434443607e-108,2.4440930094273943e-84,4.373729453658228e-110,5.541289157510067e-200,1.0
80,1.0,4.5083772344382356e-24,1.0447909834808426e-81,5.861886126032301e-33,1.6404199025043573e-49,8.307450796674045e-34,3.603390185988149e-54,3.034641609349651e-44,2.771723339511577e-106,6.042918605029405e-65
81,6.829810098462811e-56,2.917105364238544e-75,1.0459907910573731e-182,9.245788198345031e-86,4.706042549224392e-59,6.829957030764221e-128,3.871364961231131e-103,4.855494375898034e-132,2.9236762060161457e-77,1.0
82,1.0,3.35914593945033e-35,5.90729896000435e-60,3.6412346395509883e-245,2.1728803248456036e-57,1.1840744879154083e-192,6.753535671704061e-21,1.2394247666874009e-284,3.6877798119226094e-115,8.740521777959219e-100
83,0.9999029582504079,1.185544527117137e-55,4.171712146543103e-76,1.4450346871432465e-16,4.352347888438387e-86,1.1405644099035923e-86,6.389652311722767e-44,9.704174959198147e-05,1.458743243997305e-151,2.822349851040034e-112
84,0.0018551757778245107,0.9981448242221755,4.707396013003709e-103,4.842853960450646e-47,3.502232714791673e-24,3.484977398022424e-93,9.736277740272275e-84,7.024495944296154e-111,2.634451129872855e-37,5.50186867578111e-81
85,4.5534895131034e-83,9.642958835287535e-78,1.0,3.2862150840568346e-173,6.151391343808703e-251,1.5360865113532492e-85,0.0,1.2585689847639868e-252,0.0,1.5235571774558656e-190
86,2.5338374373847434e-122,3.5987887389210135e-270,1.06730400186e-313,1.0,6.07939884999652e-50,1.3749629221850734e-197,1.3434272948170403e-66,2.4136214537327679e-91,0.0,4.874602731805169e-239
87,1.0,8.308675284968099e-46,4.892593687271686e-99,6.17138440730859e-54,3.7297791746592895e-138,5.9446986313997685e-93,8.04822814862825e-111,3.689007357996527e-295,2.8306530723946225e-279,6.0710396813745055e-152
88,2.4830434651922004e-07,4.933041759603689e-53,1.6063969094304137e-72,1.1980996307412813e-113,2.577391081521754e-111,2.5183640332144977e-92,1.586057538680354e-70,2.192161932887229e-239,0.9999997516956535,2.697026070755681e-90
89,2.6246971415250247e-124,1.3752803625795184e-81,3.801940634436982e-96,9.236549905534474e-103,1.1636156351647866e-228,8.15443670655034e-205,1.097407250927773e-126,0.0,1.0,3.6122667814797746e-162
90,1.0,2.6714664783125266e-34,1.1218483113766645e-54,6.504615551337886e-25,9.869373900131093e-60,1.4942854722137624e-53,9.361122984033277e-40,4.853437874615797e-45,1.9483694432770326e-100,3.1925365493906784e-21
91,1.0,5.255268362871283e-28,1.609345125377686e-54,1.118118264013667e-30,1.215729275776602e-20,6.441055844418681e-43,8.707677819232998e-34,3.666629119480315e-28,7.029894182306585e-68,1.980841082165059e-37
92,1.276592812448237e-70,0.9999999999296811,2.7529421557332156e-77,3.235578010443857e-28,2.454835374258167e-49,7.894390398082465e-17,1.449017252509706e-70,7.031873130525939e-11,1.1052748137201244e-132,2.728853683056003e-46
93,1.0,4.586194843326e-32,1.3767405321759596e-120,2.5497213601866273e-164,7.884753040848299e-84,4.0880381420021253e-88,3.589683948741451e-105,6.5966504742226955e-140,4.068260934407428e-198,5.439777687287148e-193
94,1.0,7.500774795985624e-23,6.963662050176598e-155,5.964315726665406e-249,1.8670079634360425e-84,2.2029933757363745e-60,1.8725516749556502e-129,1.1258164741784487e-125,1.1956906198473438e-217,6.6107616275838e-215
95,1.0,3.887840244212737e-17,1.2486224496427424e-85,5.926802941840858e-133,5.0448625686031006e-77,7.322559322087958e-65,2.9528651776261537e-41,2.6006188718288036e-151,1.4422474680542047e-31,1.5535790709320467e-117
96,0.18522308629056847,5.2560271285329474e-23,4.791927858778577e-26,7.237644692142825e-38,4.119674412667081e-43,6.492010534649448e-29,3.9073578793669662e-28,2.4745620495994773e-98,0.8147769137094315,4.9478161031493826e-51
97,1.4291249715084873e-78,1.0,7.252753954115974e-217,2.862808263046699e-97,3.108772915074745e-55,4.895186144401329e-56,3.639932132104743e-128,2.821244279438204e-167,3.7308037959200575e-34,3.824845704550958e-209
98,1.0,1.1085656166258777e-57,8.992360406710659e-93,2.8161020589316587e-22,1.8056539895007467e-128,5.282421873850867e-87,5.981043400382792e-72,1.2333057599508621e-51,7.661991448918226e-62,7.410060903796477e-48
99,6.928288729692735e-15,0.9999999999999931,1.257470023295951e-41,3.171884016956863e-38,5.671872804413447e-50,4.922210674257013e-28,4.754392742892527e-51,3.3690675836468695e-84,8.022997691989953e-33,8.282058423963386e-83
100,0.7303104506244071,0.0003924222636108356,3.239426525603082e-126,3.672048369430968e-129,0.2692277796999508,2.371840148823372e-46,1.4051324452420874e-41,6.051927648537646e-117,6.934741203115579e-05,2.5604354338201078e-67
101,1.0,1.1710640409344347e-107,2.0112683506265026e-156,1.142163545491433e-140,5.601427336927893e-41,5.6554809213286325e-124,5.4218590640648614e-108,1.2297586000686963e-177,8.261029789267381e-159,3.7082367211980305e-172
102,0.9999986896422932,8.412685043593584e-11,5.421264190144633e-64,1.4446360033579113e-13,3.3515878531447486e-27,3.1228572682623063e-58,1.3102734355127288e-06,1.491287168297288e-54,2.581512634161005e-33,4.612392127437125e-26
103,3.5793453922128188e-16,2.5913127632533615e-40,6.507948441319126e-90,4.2717486649689266e-91,1.734179217106599e-98,1.9324162353853613e-89,5.0414999176856126e-79,0.9999999999999996,1.4823611119904625e-61,4.720073152778896e-96
104,0.9999999442619065,4.512805887998704e-19,5.573763300068542e-08,3.5374459552120327e-35,2.035681448496597e-28,1.5361106599445026e-16,2.8470641944184545e-35,5.295086057158396e-65,4.603518916488128e-13,3.745514482519541e-40
105,3.654226930491037e-61,1.0,4.362889882329307e-96,7.268146922386262e-94,2.0265314497729434e-116,1.6239112786046558e-46,6.220410992881662e-59,5.0250023054152586e-197,1.85601855423857e-190,1.9572370707685792e-204
106,0.9999999982877725,4.517611028734785e-64,2.854794832619303e-107,4.234264541779384e-138,1.0666712741285471e-12,9.356401933864718e-113,1.711160731996977e-09,9.563003777221113e-179,7.034272311451873e-69,3.461418400446188e-81
107,5.292223560480773e-38,2.3961860751508455e-63,1.7881639771463947e-73,3.091259184237111e-130,1.0,1.3594431352471e-85,1.27697233492391e-32,6.448584646191605e-55,5.255241019545838e-60,2.3319457233186416e-42
108,1.0,3.0231910054648054e-72,5.687842403461886e-197,8.167731270485341e-94,3.301141465757162e-82,1.0249026662187748e-250,1.8283616637735587e-179,0.0,2.5189324304923035e-204,9.223842806641719e-201
109,0.9667956170433237,4.574766584715968e-40,2.770329062162121e-36,0.03320438295667628,5.041345034286349e-49,1.3546284247258075e-48,3.993792369655241e-61,2.4052862803843863e-72,2.478902835274489e-141,4.187348786287273e-45
110,0.9999698225539426,3.017744605729225e-05,6.575258104394447e-28,1.451248952939753e-290,1.3837619061104341e-139,1.515134740968244e-147,2.0260288554733697e-30,8.122095442718925e-239,4.2782261747714145e-45,1.3536663602785352e-220
111,1.0,4.170964278514876e-23,3.327790708858221e-41,4.5846073067021535e-29,3.3874194335674974e-77,2.178364596048724e-34,6.839757651905806e-56,2.80645653208273e-103,5.238131735101429e-158,1.1608007270746683e-18
112,1.947169219164996e-98,1.9221663115766812e-57,1.0,1.8756653008591177e-257,3.48412248176392e-24,1.5376920529127972e-27,2.9153637720628265e-71,4.866505361405157e-250,2.7878245635363756e-18,3.6656133275068833e-162
113,8.647196542332829e-52,4.619697636561306e-49,1.4442556223430251e-114,1.5996016556119465e-93,1.0,3.8257800902681695e-108,3.836923710597191e-20,2.0125164946070767e-120,7.331609043966441e-99,2.6167679716107696e-105
114,0.9999985637944325,2.6194962471286018e-74,5.613541261071808e-65,5.342740705057277e-27,2.7016940987215677e-76,1.6107340889850178e-46,1.192448348714693e-72,1.4362055674926025e-06,7.345927225648636e-107,1.8060557192992613e-98
115,1.0,5.74937386691978e-44,5.756096366823497e-137,2.8736817950350107e-48,2.1706419908734067e-60,1.5791135132093897e-178,9.451491189316597e-82,6.08596826840279e-296,5.823400404133623e-141,2.3965605032267532e-188
116,5.803645677444354e-32,6.54351282770475e-53,3.383348053671858e-39,4.566261651579069e-201,1.0956861083028155e-94,1.6302537734601255e-63,1.0,1.4101097769958174e-169,2.5052164849821662e-85,7.6141523056948385e-62
117,1.0,1.1674451160774859e-45,5.783776259473177e-75,3.471519737091722e-220,3.2010066272702764e-77,1.638859707089524e-133,3.1444906382178644e-76,6.423784893088228e-181,2.256857418301876e-99,2.2642525602703998e-198
118,1.0,9.34315272488036e-95,1.3812182997221052e-102,1.3564267845920808e-60,1.5351183755777595e-148,4.906079029877545e-146,8.258946817900123e-145,4.397673475657141e-137,1.5808304893451836e-204,1.5783602382878902e-179
119,2.0040240066787222e-19,4.894872356354128e-16,1.0222520853835196e-107,5.560676723154554e-80,0.9999999999751417,5.924293446085668e-129,2.4857817930313506e-11,1.917700734994933e-220,1.6067486075079984e-95,9.369363700066594e-144
120,1.2207351966810268e-76,2.0906610142282736e-30,9.177313537716626e-129,3.444530290435214e-60,1.0,2.5678103099264557e-70,1.625774168179021e-37,6.030501980538923e-91,4.298811258950086e-23,2.5042831277143822e-155
121,1.0,5.113434709312592e-71,2.1413381374414567e-64,1.6191508614063791e-72,4.421658484936473e-55,2.0596329938869605e-50,2.7269755501841273e-67,2.4883979100679626e-43,8.10522320098313e-96,4.5149357567938425e-95
122,1.0,4.891892996334031e-21,6.39620027145442e-148,9.825987286738089e-151,1.3237464648191209e-18,1.5421444810527717e-110,2.9712681370073757e-65,7.398920251562392e-262,2.933888258392071e-205,1.0335049493103154e-226
123,0.9977264402280277,0.0022735597719721794,6.679293486869378e-61,4.849448104238541e-48,7.699294760300402e-63,1.7246856235458547e-94,4.437520724067122e-85,6.378948487154585e-121,3.041027830726554e-121,1.1106165595515974e-81
124,1.0,2.7994708185725095e-69,1.3461670057157592e-119,2.737717624871454e-172,2.275006867477433e-57,1.1979591300562833e-67,5.368533919983831e-96,2.7250271764627807e-211,2.2541905886459678e-173,2.04527006632513e-191
125,1.0325251786107148e-52,2.1573886816600084e-76,3.359739654143537e-73,0.9999999999999998,3.549373013664925e-61,2.5298017458950394e-16,7.528451166931232e-107,7.189489951647219e-78,3.5122619751041885e-171,1.1512246438839394e-90
